YEAR,A_001,A_002,A_003,A_004,A_006,A_007,A_009,A_011,A_013,A_014,A_016,A_017,A_018,A_019,A_026,A_027,A_034,J_02_01_011_1,J_02_01_011_2,J_02_01_011_3,J_02_01_011_4,J_02_01_011_5,J_02_01_011_6,J_02_01_011_7,J_02_01_011_8,J_02_01_011_9,J_02_01_011_10,J_02_01_011_11,J_02_01_011_12,J_02_01_011_13,C_02_037,C_03_009,C_06_022,C_09_036,C_16_014,C_17_013,C_01_006,J_02_01_009#1,J_02_01_009#2,J_02_01_009#3,J_02_01_009#4,J_02_01_009#5,J_02_01_009#6,J_02_01_009#7,J_02_01_009#8,J_02_01_009#9,J_02_01_009#10,J_02_01_009#11,J_02_01_009#12,J_02_01_009#13,J_02_01_008
조사년도,성별,연령_10,연령_1,지역,직업,가구월소득,본인월소득,한달지출액,최종학력,월소득여부,주거 형태,주택 형태,종교,결혼 여부,자녀 여부,자녀 총 수,맞벌이 여부,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,최근접촉매체,지상파관심도,종편케이블관심도,VOD관심도,라디오관심도,종이신문관심도,잡지관심도,인터넷모바일관심도,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰,영향매체_휴대폰
2019,1,1,14,1,6,6,0,1,8,2,3,3,1,2,1,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1.7 ,1,12,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,1,14,1,6,6,0,99,8,2,1,2,1,2,1,99,0,1,12,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,2.0 ,1,12,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,14,1,6,6,0,1,8,2,2,2,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3.0 ,1,2,9,12,0,0,0,0,0,0,0,0,0,4
2019,1,1,14,1,6,8,0,99,8,2,1,2,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0 ,1,9,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,14,1,6,9,0,1,8,2,1,2,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,2.7 ,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,14,1,6,5,0,1,8,2,1,2,1,2,1,99,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2.0 ,1,2,12,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,13,1,6,5,0,1,8,2,1,2,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3.3 ,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,14,1,6,3,0,1,8,2,1,2,1,2,1,99,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0 ,9,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,15,1,6,6,0,1,8,2,1,2,1,2,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1.3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019,1,1,15,1,6,5,0,1,8,2,1,2,1,2,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0.7 ,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019,1,1,15,1,6,4,0,1,8,2,1,3,1,2,1,99,0,1,2,7,8,7,12,0,0,0,0,0,0,0,2,2,2,0,0,0,1.3 ,1,2,7,8,9,7,12,0,0,0,0,0,0,5
2019,1,1,15,1,6,6,0,1,8,2,1,2,1,2,1,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2.3 ,99,0,0,0,0,0,0,0,0,0,0,0,0,2
2019,1,1,18,1,6,7,0,1,9,2,1,2,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,1,2,7,12,0,0,0,0,0,0,0,0,0,4
2019,1,1,15,1,6,6,0,1,8,2,1,2,1,2,1,99,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,1,7,7,12,0,0,0,0,0,0,0,0,0,3
2019,1,1,18,1,6,5,0,1,9,2,4,2,1,2,1,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2.3 ,1,2,7,9,12,0,0,0,0,0,0,0,0,5
2019,1,1,16,1,6,7,0,1,9,2,1,2,1,2,1,99,0,98,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,98,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,16,1,6,6,0,1,9,2,1,3,1,2,1,99,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.3 ,7,12,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,17,1,6,5,0,1,9,2,1,1,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3.7 ,1,2,9,0,0,0,0,0,0,0,0,0,0,4
2019,1,1,17,1,6,6,0,1,3,2,1,3,2,2,1,99,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0 ,8,7,0,0,0,0,0,0,0,0,0,0,0,3
2019,1,1,19,1,6,10,0,1,11,2,1,2,1,2,1,99,0,1,2,7,12,0,0,0,0,0,0,0,0,0,1,2.5,2,0,0,0,2.3 ,1,2,7,12,0,0,0,0,0,0,0,0,0,3
2019,1,1,16,1,6,5,0,1,2,2,1,3,1,2,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1.7 ,99,0,0,0,0,0,0,0,0,0,0,0,0,3
