YEAR,A_001,A_002,A_003,B_04_001#1,B_04_001#2,B_04_001#3,B_04_001#4,B_04_001#5,B_04_001#6,B_04_001#7,B_04_001#8,B_04_001#9,B_04_001#10,B_04_002#1,B_04_002#2,B_04_002#3,B_04_002#4,B_04_002#5,B_04_002#6,B_04_002#7,B_04_002#8,B_04_002#9,B_04_002#10,B_04_003#1,B_04_003#2,B_04_003#3,B_04_003#4,B_04_003#5,B_04_003#6,B_04_003#7,B_04_003#8,B_04_003#9,B_04_003#10,B_04_004#1,B_04_004#2,B_04_004#3,B_04_004#4,B_04_004#5,B_04_004#6,B_04_004#7,B_04_004#8,B_04_004#9,B_04_004#10,B_04_005#1,B_04_005#2,B_04_005#3,B_04_005#4,B_04_005#5,B_04_005#6,B_04_005#7,B_04_005#8,B_04_005#9,B_04_005#10,B_04_006#1,B_04_006#2,B_04_006#3,B_04_006#4,B_04_006#5,B_04_006#6,B_04_006#7,B_04_006#8,B_04_006#9,B_04_006#10,B_04_007#1,B_04_007#2,B_04_007#3,B_04_007#4,B_04_007#5,B_04_007#6,B_04_007#7,B_04_007#8,B_04_007#9,B_04_007#10,B_04_008#1,B_04_008#2,B_04_008#3,B_04_008#4,B_04_008#5,B_04_008#6,B_04_008#7,B_04_008#8,B_04_008#9,B_04_008#10,B_04_009#1,B_04_009#2,B_04_009#3,B_04_009#4,B_04_009#5,B_04_009#6,B_04_009#7,B_04_009#8,B_04_009#9,B_04_009#10,B_04_010#1,B_04_010#2,B_04_010#3,B_04_010#4,B_04_010#5,B_04_010#6,B_04_010#7,B_04_010#8,B_04_010#9,B_04_010#10,B_04_011#1,B_04_011#2,B_04_011#3,B_04_011#4,B_04_011#5,B_04_011#6,B_04_011#7,B_04_011#8,B_04_011#9,B_04_011#10,B_04_012#1,B_04_012#2,B_04_012#3,B_04_012#4,B_04_012#5,B_04_012#6,B_04_012#7,B_04_012#8,B_04_012#9,B_04_012#10,B_04_013#1,B_04_013#2,B_04_013#3,B_04_013#4,B_04_013#5,B_04_013#6,B_04_013#7,B_04_013#8,B_04_013#9,B_04_013#10,B_04_014#1,B_04_014#2,B_04_014#3,B_04_014#4,B_04_014#5,B_04_014#6,B_04_014#7,B_04_014#8,B_04_014#9,B_04_014#10,B_04_015#1,B_04_015#2,B_04_015#3,B_04_015#4,B_04_015#5,B_04_015#6,B_04_015#7,B_04_015#8,B_04_015#9,B_04_015#10,B_04_016#1,B_04_016#2,B_04_016#3,B_04_016#4,B_04_016#5,B_04_016#6,B_04_016#7,B_04_016#8,B_04_016#9,B_04_016#10,B_04_017#1,B_04_017#2,B_04_017#3,B_04_017#4,B_04_017#5,B_04_017#6,B_04_017#7,B_04_017#8,B_04_017#9,B_04_017#10,B_04_018#1,B_04_018#2,B_04_018#3,B_04_018#4,B_04_018#5,B_04_018#6,B_04_018#7,B_04_018#8,B_04_018#9,B_04_018#10,B_04_019#1,B_04_019#2,B_04_019#3,B_04_019#4,B_04_019#5,B_04_019#6,B_04_019#7,B_04_019#8,B_04_019#9,B_04_019#10,B_04_020#1,B_04_020#2,B_04_020#3,B_04_020#4,B_04_020#5,B_04_020#6,B_04_020#7,B_04_020#8,B_04_020#9,B_04_020#10,B_04_021#1,B_04_021#2,B_04_021#3,B_04_021#4,B_04_021#5,B_04_021#6,B_04_021#7,B_04_021#8,B_04_021#9,B_04_021#10,B_04_022#1,B_04_022#2,B_04_022#3,B_04_022#4,B_04_022#5,B_04_022#6,B_04_022#7,B_04_022#8,B_04_022#9,B_04_022#10,B_04_023#1,B_04_023#2,B_04_023#3,B_04_023#4,B_04_023#5,B_04_023#6,B_04_023#7,B_04_023#8,B_04_023#9,B_04_023#10,B_04_024#1,B_04_024#2,B_04_024#3,B_04_024#4,B_04_024#5,B_04_024#6,B_04_024#7,B_04_024#8,B_04_024#9,B_04_024#10
조사년도,성별,연령(10대),연령(1세),1시대 이용매체,1시대 이용매체,1시대 이용매체,1시대 이용매체,1시대 이용매체,1시대 이용매체,1시대 이용매체,1시대 이용매체,1시대 이용매체,1시대 이용매체,2시대 이용매체,2시대 이용매체,2시대 이용매체,2시대 이용매체,2시대 이용매체,2시대 이용매체,2시대 이용매체,2시대 이용매체,2시대 이용매체,2시대 이용매체,3시대 이용매체,3시대 이용매체,3시대 이용매체,3시대 이용매체,3시대 이용매체,3시대 이용매체,3시대 이용매체,3시대 이용매체,3시대 이용매체,3시대 이용매체,4시대 이용매체,4시대 이용매체,4시대 이용매체,4시대 이용매체,4시대 이용매체,4시대 이용매체,4시대 이용매체,4시대 이용매체,4시대 이용매체,4시대 이용매체,5시대 이용매체,5시대 이용매체,5시대 이용매체,5시대 이용매체,5시대 이용매체,5시대 이용매체,5시대 이용매체,5시대 이용매체,5시대 이용매체,5시대 이용매체,6시대 이용매체,6시대 이용매체,6시대 이용매체,6시대 이용매체,6시대 이용매체,6시대 이용매체,6시대 이용매체,6시대 이용매체,6시대 이용매체,6시대 이용매체,7시대 이용매체,7시대 이용매체,7시대 이용매체,7시대 이용매체,7시대 이용매체,7시대 이용매체,7시대 이용매체,7시대 이용매체,7시대 이용매체,7시대 이용매체,8시대 이용매체,8시대 이용매체,8시대 이용매체,8시대 이용매체,8시대 이용매체,8시대 이용매체,8시대 이용매체,8시대 이용매체,8시대 이용매체,8시대 이용매체,9시대 이용매체,9시대 이용매체,9시대 이용매체,9시대 이용매체,9시대 이용매체,9시대 이용매체,9시대 이용매체,9시대 이용매체,9시대 이용매체,9시대 이용매체,10시대 이용매체,10시대 이용매체,10시대 이용매체,10시대 이용매체,10시대 이용매체,10시대 이용매체,10시대 이용매체,10시대 이용매체,10시대 이용매체,10시대 이용매체,11시대 이용매체,11시대 이용매체,11시대 이용매체,11시대 이용매체,11시대 이용매체,11시대 이용매체,11시대 이용매체,11시대 이용매체,11시대 이용매체,11시대 이용매체,12시대 이용매체,12시대 이용매체,12시대 이용매체,12시대 이용매체,12시대 이용매체,12시대 이용매체,12시대 이용매체,12시대 이용매체,12시대 이용매체,12시대 이용매체,13시대 이용매체,13시대 이용매체,13시대 이용매체,13시대 이용매체,13시대 이용매체,13시대 이용매체,13시대 이용매체,13시대 이용매체,13시대 이용매체,13시대 이용매체,14시대 이용매체,14시대 이용매체,14시대 이용매체,14시대 이용매체,14시대 이용매체,14시대 이용매체,14시대 이용매체,14시대 이용매체,14시대 이용매체,14시대 이용매체,15시대 이용매체,15시대 이용매체,15시대 이용매체,15시대 이용매체,15시대 이용매체,15시대 이용매체,15시대 이용매체,15시대 이용매체,15시대 이용매체,15시대 이용매체,16시대 이용매체,16시대 이용매체,16시대 이용매체,16시대 이용매체,16시대 이용매체,16시대 이용매체,16시대 이용매체,16시대 이용매체,16시대 이용매체,16시대 이용매체,17시대 이용매체,17시대 이용매체,17시대 이용매체,17시대 이용매체,17시대 이용매체,17시대 이용매체,17시대 이용매체,17시대 이용매체,17시대 이용매체,17시대 이용매체,18시대 이용매체,18시대 이용매체,18시대 이용매체,18시대 이용매체,18시대 이용매체,18시대 이용매체,18시대 이용매체,18시대 이용매체,18시대 이용매체,18시대 이용매체,19시대 이용매체,19시대 이용매체,19시대 이용매체,19시대 이용매체,19시대 이용매체,19시대 이용매체,19시대 이용매체,19시대 이용매체,19시대 이용매체,19시대 이용매체,20시대 이용매체,20시대 이용매체,20시대 이용매체,20시대 이용매체,20시대 이용매체,20시대 이용매체,20시대 이용매체,20시대 이용매체,20시대 이용매체,20시대 이용매체,21시대 이용매체,21시대 이용매체,21시대 이용매체,21시대 이용매체,21시대 이용매체,21시대 이용매체,21시대 이용매체,21시대 이용매체,21시대 이용매체,21시대 이용매체,22시대 이용매체,22시대 이용매체,22시대 이용매체,22시대 이용매체,22시대 이용매체,22시대 이용매체,22시대 이용매체,22시대 이용매체,22시대 이용매체,22시대 이용매체,23시대 이용매체,23시대 이용매체,23시대 이용매체,23시대 이용매체,23시대 이용매체,23시대 이용매체,23시대 이용매체,23시대 이용매체,23시대 이용매체,23시대 이용매체,24시대 이용매체,24시대 이용매체,24시대 이용매체,24시대 이용매체,24시대 이용매체,24시대 이용매체,24시대 이용매체,24시대 이용매체,24시대 이용매체,24시대 이용매체
2019,1,1,14,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,8,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,
2019,1,1,14,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,7,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,
2019,1,1,14,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,8,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,99,,,,,,,,,
2019,1,1,14,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,
2019,1,1,14,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,8,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,3,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,
2019,1,1,14,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,
2019,1,1,13,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,8,,,,,,,,,,6,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,6,,,,,,,,,,99,,,,,,,,,,6,,,,,,,,,,2,8,,,,,,,,,1,8,,,,,,,,,3,7,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,
2019,1,1,14,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,7,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,8,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,
2019,1,1,15,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,99,,,,,,,,,
